MWD02	5111	65.90	414.22 	322.09 	5007780.78 	1265937.58 	SH
MWD02	5112	67.50	414.21 	322.08 	5007774.76 	1265940.04 	SH
MWD02	6186	69.60	414.26 	322.13 	5007775.93 	1265936.53 	TB
MWD02	6185	71.20	412.53 	320.40 	5007774.48 	1265935.55 	BB/WL
MWD02	6184	71.50	411.70 	319.57 	5007774.28 	1265935.38 	DP
MWD02	6183	73.50	412.01 	319.88 	5007773.10 	1265933.75 	DP
MWD02	6182	74.30	412.33 	320.20 	5007772.73 	1265933.01 	DP
MWD02	6187	77.50	412.56 	320.43 	5007770.54 	1265930.67 	WL
MWD02	6181	86.30	412.73 	320.60 	5007765.44 	1265923.52 	SH
MWD02	6180	112.00	412.87 	320.74 	5007749.90 	1265902.98 	SH
MWD02	6179	134.60	412.72 	320.59 	5007736.55 	1265884.75 	SH
MWD02	6178	150.30	412.34 	320.21 	5007727.17 	1265872.24 	SH
MWD02	6177	150.60	412.33 	320.20 	5007726.33 	1265872.39 	SH
MWD02	6176	155.70	412.26 	320.13 	5007724.11 	1265867.73 	WL
MWD02	6175	161.10	412.16 	320.03 	5007720.42 	1265863.77 	DP
MWD02	6174	169.00	411.95 	319.82 	5007715.70 	1265857.44 	DP
MWD02	6173	175.70	411.54 	319.41 	5007712.22 	1265851.72 	DP
MWD02	6172	181.90	411.28 	319.15 	5007708.63 	1265846.66 	DP
MWD02	6171	190.50	411.36 	319.23 	5007703.22 	1265839.97 	DP
MWD02	6170	192.20	411.90 	319.77 	5007702.08 	1265838.64 	DP
MWD02	6169	193.70	412.32 	320.19 	5007701.54 	1265837.23 	WL
MWD02	6168	194.60	412.78 	320.65 	5007700.47 	1265836.80 	SH
MWD02	6167	202.70	413.21 	321.08 	5007696.50 	1265829.65 	SH
MWD02	6166	232.00	412.90 	320.77 	5007678.83 	1265806.34 	SH
MWD02	6165	238.10	412.65 	320.52 	5007674.65 	1265801.89 	SH
MWD02	6164	239.90	412.90 	320.77 	5007673.94 	1265800.13 	SH
MWD02	6163	261.20	412.38 	320.25 	5007660.81 	1265783.38 	SH
MWD02	6162	267.70	412.67 	320.54 	5007657.17 	1265777.98 	SH
MWD02	6161	295.40	412.92 	320.79 	5007640.28 	1265756.03 	SH
MWD02	6158	312.20	414.27 	322.14 	5007630.47 	1265742.32 	SH
MWD02	5058	318.40	412.75 	320.62 	5007622.37 	1265740.73 	SH-NEXT-ACCESS-RD
MWD02	6159	320.80	414.73 	322.60 	5007625.42 	1265735.34 	SH
MWD02	6160	324.40	415.17 	323.04 	5007623.64 	1265732.24 	SH
MWD02	5057	325.80	415.34 	323.21 	5007622.21 	1265731.59 	SH-TRACK
MWD02	5056	330.30	415.68 	323.55 	5007619.46 	1265727.93 	SH-TRACK
MWD02	5055	348.40	415.43 	323.30 	5007609.58 	1265712.74 	SH
MWD02	5054	383.00	415.96 	323.83 	5007588.00 	1265685.72 	EOL-OFFSET-FE
							
MWD03	5117	-21.90	415.12 	323.00 	5007573.73 	1266157.16 	SH-OFFSET
MWD03	5118	-17.30	415.54 	323.42 	5007569.66 	1266152.55 	SH-OFFSET
